Year,point.estimate,95_conf_low,95_conf_high,n,treatmentType
1,0.91026156588427,0.898208315914487,0.921738918794218,2692,3TC
2,0.952800352513284,0.944391412354961,0.962691866907623,1987,3TC
3,0.968556746668125,0.960936280846998,0.974848067989267,1717,3TC
4,0.9789687539324,0.97086536477664,0.98473441949741,1478,3TC
5,0.983329964328534,0.976755097906945,0.988714193189648,1322,3TC
6,0.983274870429744,0.976902658765616,0.990083943141506,1188,3TC
7,0.985150562891459,0.978845650332097,0.990054440876921,1071,3TC
8,0.985717438664721,0.979755180690823,0.992072758572264,998,3TC
9,0.9853115311557,0.977298027134462,0.992099783558933,899,3TC
10,0.988599458952782,0.982151994052923,0.994387032426691,818,3TC
1,0.971224818136274,0.964397599903438,0.979169522858546,2692,NRTI
2,0.967472715838279,0.959751772279548,0.974612821296445,2103,NRTI
3,0.981612892045754,0.975666088296177,0.987476420790616,1847,NRTI
4,0.986436386575118,0.981052380770694,0.991721846548727,1614,NRTI
5,0.992925309681065,0.988781494086737,0.996795447598179,1458,NRTI
6,0.988575576216889,0.984145725704676,0.993657599795861,1327,NRTI
7,0.987624085461871,0.982176585789548,0.993287900762321,1201,NRTI
8,0.994249953017878,0.98986984043555,0.998321279426711,1104,NRTI
9,0.989152354827887,0.983113032795127,0.99467212783118,1001,NRTI
10,0.996040018751985,0.992026130756947,0.999048844575769,914,NRTI
1,0.930395290400246,0.919795646345717,0.941087971478378,2692,NNRTI
2,0.956376330121357,0.948439386200806,0.965058331964818,2025,NNRTI
3,0.968852577443767,0.961116122706915,0.976418774450137,1767,NNRTI
4,0.971001448454819,0.963392124774346,0.978377863756482,1534,NNRTI
5,0.980413263921869,0.973667472322234,0.986929975953802,1368,NNRTI
6,0.977852505723465,0.971091667073453,0.985441188812976,1232,NNRTI
7,0.983820167442686,0.97626968223274,0.990138939958099,1099,NNRTI
8,0.978785513003146,0.970638228548533,0.987146793837977,1014,NNRTI
9,0.985437813199614,0.97889766342743,0.992973092335299,905,NNRTI
10,0.989801066106781,0.984373360113803,0.995301189441367,821,NNRTI
1,0.980519435547164,0.974857592459907,0.98622408638521,2692,PI
2,0.981864947871875,0.976296987386043,0.986960488491899,2110,PI
3,0.984815640332384,0.978801056077899,0.989734695871415,1876,PI
4,0.993887989449113,0.989717699504976,0.997505126998938,1638,PI
5,0.993427223473261,0.990122135143544,0.997388317439476,1484,PI
6,0.993494171668432,0.988497508319308,0.997804982513085,1353,PI
7,0.993728492218703,0.988772306009276,0.998369871771907,1226,PI
8,0.994920424099054,0.990816498205107,0.99833071848237,1138,PI
9,0.99812145965953,0.995201892834363,1,1027,PI
10,0.996896072371395,0.99279240966776,1,940,PI
1,0.86220570959921,0.847381858845919,0.874606442140783,2692,total
2,0.926931313380874,0.914581896983017,0.937107568273833,1906,total
3,0.956145608595101,0.948241368831173,0.964693819083321,1604,total
4,0.970176082153773,0.960901318018292,0.978080138011306,1372,total
5,0.978565560513608,0.971497403789867,0.985151747102019,1220,total
6,0.976132058951273,0.967378670775991,0.984478071459331,1092,total
7,0.980963278637444,0.973663998188129,0.987230491955314,973,total
8,0.979881323459655,0.973061114087492,0.987751477408898,904,total
9,0.978267595059013,0.968770633654604,0.986120071161951,811,total
10,0.983532983075805,0.97702471924306,0.990602639112311,735,total
